entityID,entityAssertionType,entityAssertionValue,entityAssertionValueNumeric,entityAssertionUnit,entityAssertionByAgentID,entityAssertionDate,entityAssertionProtocol,entityAssertionRemarks
21714980,ear from notch,20,20,mm,796,2007-09-27,,
21714980,hind foot with claw,32,32,mm,796,2007-09-27,,
21714980,reproductive data,testes: 3x2 mm (abdominal),,,796,2007-09-27,,
21714980,sex,male,,,796,2007-09-27,,
21714980,tail length,105,105,mm,796,2007-09-27,,
21714980,total length,220,220,mm,796,2007-09-27,,
21714980,weight,43.1,43.1,g,796,2007-09-27,,
21714980,ectoparasite examination,yes,,,796,2007-09-27,,
21714980,ectoparasites detected,yes,,,796,2007-09-27,,
21714980,endoparasite examination,yes,,,796,2007-09-27,,
21714980,endoparasites detected,no,,,796,2015,,
29610849,sex,female,,,4446,2015,,
29610849,sex,male,,,4446,2015,,
29610849,age class,larva,,,4446,2015,,
29610849,age class,nymph,,,4446,2016,,
26462265,sex,male,,,21308659,1984-10-07,,
1906948,sex,male,,,690,1984-10-07,,
1906948,total length,246,246,mm,690,1984-10-07,,
1906948,tail length,123,123,mm,690,1984-10-07,,
1906948,hind foot with claw,27,27,mm,690,1984-10-07,,
1906948,ear from notch,24,24,mm,690,1984-10-07,,
1906948,weight,45,45,g,690,1984-10-07,,
1906948,reproductive data,T=11mm,,,690,2009-06-02,,
10599395,clutch size,2,2,,21247846,2009-05-28,original egg cards and data slips,
10599395,incubation stage,ready to hatch,,,21247846,2005-10-08,original egg cards and data slips,
21176824,age class,adult,,,10012483,2005-10-08,,
21176824,sex,female,,,10012483,2005-10-08,,
21176824,snout-vent length,57.5,57.5,mm,10012483,2005-10-08,,
21176824,tail length,59.9,59.9,mm,10012483,2005-10-08,,
10207228,made date,14 July 2007,,,,,,
10207231,made date,14 July 2007,,,,,,
10212653,comment,"Photograph taken in Museum of Vertebrate Zoology, Berkeley.",,,,,,
10312517,description,Ventral view skin,,,,,,
10312720,description,Dorsal view mandible,,,,,,
10203450,subject,bird,,,,,,
10604439,MD5 checksum,1b78c634fbe8230978e73f09872b600b,,,,,,
10312514,description,Lateral view skin,,,,,,
10313319,description,Dwight Moore fieldnotes 6-7 October 1984,,,,,,
10312545,description,Joseph A. Cook field catalog page (JAC 1457),,,,,,
10007945,description,"Nest and eggs of Sandhill Cranes (Now MVZ Accession No. 4245, Egg Cat. No. 2547)",,,,,,
10203450,description,Scan of egg data card.,,,,,,
10207232,description,"North Crestone Campground, looking west along north slope of canyon and FR950",,,,,,
10257326,subject,amphibian,,,,,,
10604438,MD5 checksum,1da322cba93b31338e3f5ac4e4b6fe63,,,,,,
10257326,description,"CalPhotos image of <i>Karsenia koreana</i>, collected in Chung-cheongnam-do, Korea, photo taken in Berkeley, California",,,,,,
10207228,description,Looking southwest towards the San Luis Valley,,,,,,
10007944,description,Sandhill Cranes (pertains to MVZ Accession No. 4245,,,,,,
10207232,MD5 checksum,34ade061353d112719647289512d1485,,,,,,
10207231,description,Looking northeast towards Venable Peak,,,,,,
10207229,made date,14 July 2007,,,,,,
10312723,description,Ventral view skull,,,,,,
10604439,description,Gigapan Image - Tamias quadrivittatus,,,,,,
10007944,comment,Only web versions of MVZ images are licensed under a Creative Commons Attribution License (CC-BY).,,,,,,
10212653,made date,2011-10-18,,,,,,
10007945,subject,bird,,,,,,
10207233,made date,14 July 2007,,,,,,
10007944,media identifier,MVZ 8309,,,,,,
10007945,comment,Only web versions of MVZ images are licensed under a Creative Commons Attribution License (CC-BY).,,,,,,
10212653,comment,Only web versions of MVZ images are licensed under a Creative Commons Attribution License (CC-BY).,,,,,,
10257327,description,"CalPhotos image of <i>Karsenia koreana</i>, collected in Chung-cheongnam-do, Korea, photo taken in Berkeley, California",,,,,,
10007945,made date,1931-05-02,,,,,,
10604439,made date,2018-11-07,,,,,,
10212653,subject,bird,,,,,,
10212653,comment,Please contact the MVZ Archives (mvzarchives[at]berkeley.edu) for licensing and use of high resolution images. See http://mvz.berkeley.edu/PDFs/MVZ_terms_of_use.pdf,,,,,,
10007945,comment,Please contact the MVZ Archives (mvzarchives[at]berkeley.edu) for licensing and use of high resolution images. See http://mvz.berkeley.edu/PDFs/MVZ_terms_of_use.pdf,,,,,,
10470991,description,shows object on exhibit,,,,,,
10312722,description,Lateral view skull,,,,,,
10604438,description,Gigapan Image - Tamias quadrivittatus,,,,,,
10312509,description,Dorsal view skin,,,,,,
10312764,description,Joseph A. Cook fieldnotes (6-7 Oct 1984),,,,,,
10207229,description,Looking southwest towards the San Luis Valley,,,,,,
10007944,comment,Please contact the MVZ Archives (mvzarchives[at]berkeley.edu) for licensing and use of high resolution images. See http://mvz.berkeley.edu/PDFs/MVZ_terms_of_use.pdf,,,,,,
10207229,MD5 checksum,0dcacaeedab4759ab352d2f04d2d4be0,,,,,,
10604438,made date,2018-11-07,,,,,,
10257327,made date,2004-10-07,,,,,,
10257326,made date,2004-10-07,,,,,,
10007944,made date,1931-05-02,,,,,,
10212653,description,Photograph of eggs.,,,,,,
10312721,description,Lateral view mandible,,,,,,
10207233,MD5 checksum,446f8af2c3391b73769b2e91d6a46def,,,,,,
10207228,MD5 checksum,4731409aa6f163467b1719d802da5c0b,,,,,,
10207232,made date,14 July 2007,,,,,,
10257327,subject,amphibian,,,,,,
10207231,MD5 checksum,2299b6d893003160c95a5d1d7451eba8,,,,,,
10007945,media identifier,MVZ 8310,,,,,,
10007944,subject,habitat/landscape,,,,,,
10312522,description,Dorsal view skull,,,,,,
10207233,description,"North slope of canyon of North Crestone Creek, across from North Crestone Campground",,,,,,
21714984,preservation,frozen,,,,2021-07-01,,Added from original part liver (frozen).
21714983,preservation,frozen,,,,2021-07-01,,"Added from original part heart, kidney (frozen)."
21714985,preservation,frozen,,,,2021-07-01,,Added from original part liver (frozen).
21714986,preservation,ethanol,,,,2021-07-01,,Added from original part ectoparasite (ethanol).
29610850,preservation,"ethanol, 95%",,,796,2021-01-15,,
29610850,preservation,"ethanol, 95%",,,,2021-07-01,,Added from original part whole organism (95% ethanol).
29610852,preservation,"ethanol, 75%",,,796,2021-01-15,,
